title,location,posted,url,company,description
Sr Electrical Engineer,"United States, Georgia, Atlanta",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556631052,Microsoft,
"Senior Project Manager, Consulting","India, Telangana, Hyderabad + 1 more",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556735783,Microsoft,
Business Excellence - AI Activation Project Manager,"United States, Multiple Locations, Multiple Locations",Posted 3 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556749518,Microsoft,
Complex Program Activation Lead,"United States, Multiple Locations, Multiple Locations",Posted 3 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556750192,Microsoft,
Senior Data Scientist,united states + 5 more,Posted 3 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556619600,Microsoft,
Principal Product Manager - MAI Monetization,"United States, California, Mountain View + 3 more",Posted 4 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556642874,Microsoft,
Senior Software Engineer,united states,Posted 4 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556649676,Microsoft,
Principal Cloud Solution Architect,"United States, Multiple Locations, Multiple Locations",Posted 4 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556656803,Microsoft,
Software Engineer II - Virtualization and Kernel,"United States, Multiple Locations, Multiple Locations",Posted 4 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556749121,Microsoft,
Senior Software Engineer - Virtualization and Kernel,"United States, Multiple Locations, Multiple Locations",Posted 4 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556749099,Microsoft,
System Product Engineer,JR2001558,,https://nvidia.eightfold.ai/careers/job/893383930593,Nvidia,
"Full Stack Engineer, .Net",JR2012633,,https://nvidia.eightfold.ai/careers/job/893393165214,Nvidia,
System Software Engineer,JR2012458,,https://nvidia.eightfold.ai/careers/job/893393165294,Nvidia,
Physical Design Engineer,JR2008527,,https://nvidia.eightfold.ai/careers/job/893392162234,Nvidia,
Memory Silicon Validation Engineer,JR2012606,,https://nvidia.eightfold.ai/careers/job/893393165842,Nvidia,
Senior Optic Manufacturing Engineer,JR2012241,,https://nvidia.eightfold.ai/careers/job/893393165862,Nvidia,
"Senior Developer Relations Manager, Healthcare & Life Sciences",JR2007929,,https://nvidia.eightfold.ai/careers/job/893392081423,Nvidia,
Senior Software Architect - Deep Learning and HPC Communications,JR2001099,,https://nvidia.eightfold.ai/careers/job/893383716217,Nvidia,
"Senior Software Engineer, AI Storage Infrastructure",JR2001360,,https://nvidia.eightfold.ai/careers/job/893383786216,Nvidia,
Senior Software Engineer - BaseOS,JR2012266,,https://nvidia.eightfold.ai/careers/job/893393164991,Nvidia,
"Software Engineer, AI/ML Infrastructure, Ads",Learn more,Unknown,https://www.google.com/about/careers/applications/jobs/results/jobs/results/100864950842335942-software-engineer-aiml-infrastructure-ads?page=1&q=software+engineer&sort_by=relevance,Google,Visit URL for full description.
"Software Engineer, Payments Security, Offensive Security",Learn more,Unknown,https://www.google.com/about/careers/applications/jobs/results/jobs/results/142701890923045574-software-engineer-payments-security-offensive-security?page=1&q=software+engineer&sort_by=relevance,Google,Visit URL for full description.
"Software Engineer, Cloud Interconnect Networking",Learn more,Unknown,https://www.google.com/about/careers/applications/jobs/results/jobs/results/114760370488255174-software-engineer-cloud-interconnect-networking?page=1&q=software+engineer&sort_by=relevance,Google,Visit URL for full description.
"Software Engineer, Flash Cache",Learn more,Unknown,https://www.google.com/about/careers/applications/jobs/results/jobs/results/108343951341036230-software-engineer-flash-cache?page=1&q=software+engineer&sort_by=relevance,Google,Visit URL for full description.
"Software Engineer, Full Stack, gUP Engineering",Learn more,Unknown,https://www.google.com/about/careers/applications/jobs/results/jobs/results/73440488098538182-software-engineer-full-stack-gup-engineering?page=1&q=software+engineer&sort_by=relevance,Google,Visit URL for full description.
"Software Engineer, LLM, Search Ads",Learn more,Unknown,https://www.google.com/about/careers/applications/jobs/results/jobs/results/73760128154641094-software-engineer-llm-search-ads?page=1&q=software+engineer&sort_by=relevance,Google,Visit URL for full description.
"Software Engineer, ML and Data Center Fabric Routing",Learn more,Unknown,https://www.google.com/about/careers/applications/jobs/results/jobs/results/112718156488680134-software-engineer-ml-and-data-center-fabric-routing?page=1&q=software+engineer&sort_by=relevance,Google,Visit URL for full description.
"Software Engineer, Network Infrastructure, Google Cloud",Learn more,Unknown,https://www.google.com/about/careers/applications/jobs/results/jobs/results/121569613786817222-software-engineer-network-infrastructure-google-cloud?page=1&q=software+engineer&sort_by=relevance,Google,Visit URL for full description.
