title,location,posted,url
Support Engineering Manager,"Australia, New South Wales, Sydney",Posted 22 minutes ago,https://apply.careers.microsoft.com/careers/job/1970393556745595
Software Engineer 2 - Frontend,"China, Beijing, Beijing + 1 more",Posted 25 minutes ago,https://apply.careers.microsoft.com/careers/job/1970393556746685
Lease Delivery Program Manager,"Ireland, Dublin, Dublin + 2 more",Posted 28 minutes ago,https://apply.careers.microsoft.com/careers/job/1970393556726367
Senior Applied Scientist,"China, Beijing, Beijing + 1 more",Posted 36 minutes ago,https://apply.careers.microsoft.com/careers/job/1970393556638247
Software Engineer,"India, Telangana, Hyderabad",Posted 40 minutes ago,https://apply.careers.microsoft.com/careers/job/1970393556668495
Software Engineer II,"United States, Redmond, WA",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556735310
Software Engineering Intern,"Israel, Multiple Locations, Multiple Locations",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556635249
Customer Success Finance Manager,"Australia, New South Wales, Sydney",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556656926
Software Engineer II,"United States, Redmond, WA",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556744945
Software Engineer II,"India, Uttar Pradesh, Noida",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556653894
Product Manager II,"India, Telangana, Hyderabad",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556745197
Software Engineer - Backend,"Czech Republic, Multiple Locations, Multiple Locations",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556748534
Cloud Solution Architect - AI Business Solutions,"Morocco, Casablanca-Settat, Casablanca",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556640716
Partner Development Manager - German Speaking,"Germany, Multiple Locations, Multiple Locations",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556735146
"Senior Consultant, AI Business Solutions","India, Telangana, Hyderabad + 1 more",Posted an hour ago,https://apply.careers.microsoft.com/careers/job/1970393556744758
Microsoft 365 FastTrack Architect (FTA),"Australia, Victoria, Melbourne",Posted 2 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556745192
Software Engineer II,"India, Telangana, Hyderabad",Posted 2 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556637489
Digital Technical Sales Specialist,"Singapore, Singapore, Singapore",Posted 2 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556642939
Software Engineering,"India, Telangana, Hyderabad",Posted 2 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556746631
Cloud Solution Architect -Infra,"Japan, Tokyo-to, Tokyo",Posted 2 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556748215
Senior Software Engineer - Firmware,"India, Karnataka, Bangalore",Posted 2 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556641781
Senior Software Engineer,"India, Karnataka, Bangalore",Posted 2 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556631446
Principal Product Manager,"India, Telangana, Hyderabad",Posted 2 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556744706
Cloud Solution Architect (Cloud & AI Infra),"Spain, Madrid, Madrid",Posted 2 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556637412
Technical Support Engineer - Dynamics CE (Customer Engagement),"Japan, Tokyo-to, Tokyo",Posted 2 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556748457
Software Engineer,"Canada, Québec, Montreal + 6 more",Posted 3 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556658805
Software Engineer II,"India, Telangana, Hyderabad",Posted 3 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556746149
Technical Support Engineer - Power Platform,"Japan, Tokyo-to, Tokyo",Posted 3 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556748337
Principal Software Engineer,"United States, Multiple Locations, Multiple Locations",Posted 3 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556621222
Digital Solution Area Specialist,"Australia, New South Wales, Sydney",Posted 3 hours ago,https://apply.careers.microsoft.com/careers/job/1970393556745720
